,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
3795,The Sun is Also a Star,9000000,4950029,5434029,10384058,1384058
4452,The Sweeney,4500000,26345,8000366,8026711,3526711
4340,The Sweet Hereafter,5000000,4306697,7951247,12257944,7257944
1338,The Sweetest Thing,43000000,24430272,63078756,87509028,44509028
2738,The Switch,19000000,27758465,49858465,77616930,58616930
2816,The Tailor of Panama,18000000,13491653,27491653,40983306,22983306
334,The Taking of Pelham 123,110000000,65452312,152364370,217816682,107816682
892,The Tale of Despereaux,60000000,50877145,90482317,141359462,81359462
1404,The Talented Mr. Ripley,40000000,81292135,128792135,210084270,170084270
645,The Terminal,75000000,77073959,218673959,295747918,220747918
4104,The Terminator,6400000,38019031,78019031,116038062,109638062
5747,The Terrorist,25000,195043,195043,390086,365086
3768,The Texas Chainsaw Massacre,9000000,80571655,107967319,188538974,179538974
4410,The Texas Chainsaw Massacre 2,4700000,8025872,8025872,16051744,11351744
2936,The Texas Chainsaw Massacre: The Beginning,16000000,39517763,50517763,90035526,74035526
3034,The Theory of Everything,15000000,35893537,123327692,159221229,144221229
1072,The Thin Red Line,52000000,36400491,97709034,134109525,82109525
1576,The Thing,38000000,16999934,27573078,44573012,6573012
2960,The Thirteenth Floor,16000000,11810854,11810854,23621708,7621708
1218,The Thomas Crown Affair,48000000,69304264,124304264,193608528,145608528
476,The Three Musketeers,90000000,20377913,139877913,160255826,70255826
1903,The Three Stooges,30000000,44338224,54052249,98390473,68390473
2532,The Tigger Movie,20000000,45542421,96147688,141690109,121690109
582,The Time Machine,80000000,56684819,98983590,155668409,75668409
1544,The Time Traveler's Wife,39000000,63414846,102332135,165746981,126746981
5076,The To Do List,1500000,3491669,4128828,7620497,6120497
384,The Tourist,100000000,67631157,278731369,346362526,246362526
1591,The Town,37000000,92186262,152566881,244753143,207753143
4199,The Train,5800000,6800000,6800000,13600000,7800000
2469,The Transporter,21000000,25296447,43928932,69225379,48225379
1799,The Transporter 2,32000000,43095856,88978458,132074314,100074314
2433,The Transporter Refueled,22000000,16029670,69698495,85728165,63728165
1723,The Tree of Life,35000000,13305665,61721826,75027491,40027491
5162,The Trouble with Harry,1200000,7000000,7000000,14000000,12800000
848,The Truman Show,60000000,125618201,264118201,389736402,329736402
895,The Tuxedo,60000000,50586000,104429625,155015625,95015625
256,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281287133,689420051,970707184,843207184
224,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292324737,829724737,1122049474,985849474
752,The Twilight Saga: Eclipse,68000000,300531751,706102828,1006634579,938634579
1081,The Twilight Saga: New Moon,50000000,296623634,687557727,984181361,934181361
1555,The Ugly Truth,38000000,88915214,205298907,294214121,256214121
2934,The Unborn,16000000,42670410,78208812,120879222,104879222
2179,The Untouchables,25000000,76270454,76270454,152540908,127540908
1584,The Upside,37500000,108235497,119024536,227260033,189760033
3388,The Upside of Anger,12000000,18761993,28915761,47677754,35677754
4127,The Usual Suspects,6000000,23341568,34449356,57790924,51790924
4874,The Valley of Decision,2160000,9132000,9132000,18264000,16104000
3302,The Vatican Tapes,13000000,1784763,14929184,16713947,3713947
2930,The Verdict,16000000,53977250,53977250,107954500,91954500
689,The Village,71682975,114197520,257641634,371839154,300156179
4154,The Virgin Suicides,6000000,4859475,10619770,15479245,9479245
4255,The Visit,5000000,65206105,98677816,163883921,158883921
4501,The Visitor,4000000,9427026,19174817,28601843,24601843
1841,The Vow,30000000,125014030,197618160,322632190,292632190
1732,The Walk,35000000,10161183,61492104,71653287,36653287
4728,The Wall,3000000,1803064,4495262,6298326,3298326
4499,The Wash,4000000,10097096,10097096,20194192,16194192
1026,The Watch,55000000,34353000,67130045,101483045,46483045
1776,The Watcher,33000000,28946615,47267829,76214444,43214444
2403,The Water Diviner,22500000,4200117,31054727,35254844,12754844
1452,The Water Horse: Legend of the Deep,40000000,40412817,103429755,143842572,103842572
2368,The Waterboy,23000000,161491646,190191646,351683292,328683292
4282,The Way Way Back,5000000,21502690,26853810,48356500,43356500
3794,The Way of the Gun,9000000,6047856,13061935,19109791,10109791
2634,The Weather Man,20000000,12482775,15466961,27949736,7949736
3045,The Wedding Date,15000000,31726995,47175038,78902033,63902033
2046,The Wedding Planner,28000000,60400856,94728529,155129385,127129385
2372,The Wedding Ringer,23000000,64460211,80171596,144631807,121631807
2337,The Whole Nine Yards,24000000,57262492,85527867,142790359,118790359
1964,The Whole Ten Yards,30000000,16323969,26323969,42647938,12647938
591,The Wild,80000000,37384046,99010667,136394713,56394713
2210,The Wild Thornberrys Movie,25000000,40108697,60694737,100803434,75803434
3855,The Wind That Shakes the Barley,8300000,1829142,25670174,27499316,19199316
4593,The Witch,3500000,25138705,40454520,65593225,62093225
2353,The Wiz,24000000,22000000,22000000,44000000,20000000
4788,The Wizard of Oz,2777000,34063405,34305476,68368881,65591881
375,The Wolf of Wall Street,100000000,116900694,389870414,506771108,406771108
190,The Wolfman,150000000,62189884,142634358,204824242,54824242
307,The Wolverine,115000000,132556852,416456852,549013704,434013704
5658,The Woman Chaser,150000,110719,110719,221438,71438
3017,The Woman in Black,15000000,54333290,128955898,183289188,168289188
2944,The Women,16000000,26902075,50103808,77005883,61005883
4126,The Wood,6000000,25059640,25059640,50119280,44119280
4145,The Words,6000000,11494838,16369708,27864546,21864546
227,The World is Not Enough,135000000,126930660,361730660,488661320,353661320
2575,The World's End,20000000,26004851,47508505,73513356,53513356
4123,The Wrestler,6000000,26238243,46634275,72872518,66872518
5168,The Wrong Man,1200000,2000000,2000000,4000000,2800000
768,The X Files: Fight the Future,66000000,83898313,189176423,273074736,207074736
1708,The X-Files: I Want to Believe,35000000,20982478,68170792,89153270,54153270
1727,The Young Victoria,35000000,11001272,31878891,42880163,7880163
2606,The Zookeeperâs Wife,20000000,17445186,26308749,43753935,23753935
2209,There Will Be Blood,25000000,40222514,77208711,117431225,92431225
2405,There's Something About Mary,22000000,176484651,369884651,546369302,524369302
4493,They Live,4000000,13000000,13000774,26000774,22000774
3344,Think Like a Man,12000000,91547205,113373764,204920969,192920969
2335,Think Like a Man Too,24000000,65028687,70027933,135056620,111056620
3199,Thinner,14000000,15171475,15171475,30342950,16342950
4914,Thirteen,2000000,4601043,9505996,14107039,12107039
4719,Thirteen Conversations About One Thing,3000000,3287435,3705923,6993358,3993358
593,Thirteen Days,80000000,34566746,66554547,101121293,21121293
2733,Thirteen Ghosts,19000000,41867960,68467960,110335920,91335920
3256,This Christmas,13000000,49121934,49733545,98855479,85855479
797,This Means War,65000000,54760791,156974557,211735348,146735348
1644,This is 40,35000000,67544505,90221182,157765687,122765687
4857,This is England,2380000,327919,8739576,9067495,6687495
2556,This is Where I Leave You,20000000,34296320,41296320,75592640,55592640
1790,This is the End,32000000,101470202,126539117,228009319,196009319
2742,Thomas and the Magic Railroad,19000000,15911332,15911332,31822664,12822664
169,Thor,150000000,181030624,449326618,630357242,480357242
81,Thor: Ragnarok,180000000,315058289,846980024,1162038313,982038313
165,Thor: The Dark World,150000000,206362140,644602516,850964656,700964656
4346,Thoroughbreds,5000000,3072605,3187302,6259907,1259907
4853,Thr3e,2400000,1008849,1420418,2429267,29267
3358,"Three Billboards Outside Ebbing, Missouri",12000000,54513740,160191915,214705655,202705655
2708,Three Kingdoms: Resurrection of the Dragon,20000000,0,22139590,22139590,2139590
1221,Three Kings,48000000,60652036,107752036,168404072,120404072
2642,Three to Tango,20000000,10570375,10570375,21140750,1140750
1767,Thunder and the House of Magic,34000000,4091,62582520,62586611,28586611
3771,Thunderball,9000000,63600000,141200000,204800000,195800000
819,Tian jiang xiong shi,65000000,74070,122519874,122593944,57593944
3365,Time Bandits,12000000,37400000,37400000,74800000,62800000
5354,Time Changer,825000,1500711,1500711,3001422,2176422
2055,Timecop,28000000,44853581,102053581,146907162,118907162
1281,Tin Cup,45000000,53854588,75854588,129709176,84709176
2471,Tinker Tailor Soldier Spy,21000000,24149393,81452811,105602204,84602204
5717,Tiny Furniture,50000,391674,424149,815823,765823
42,Titanic,200000000,659363944,2208208395,2867572339,2667572339
2589,To Die For,20000000,21284514,27688744,48973258,28973258
4895,To Kill A Mockingbird,2000000,13129846,13129846,26259692,24259692
2457,To Rome with Love,21500000,16684352,74326015,91010367,69510367
5434,To Save a Life,500000,3777210,3824868,7602078,7102078
5212,Tom Jones,1000000,37600000,37600000,75200000,74200000
4203,Tom yum goong,5700000,12044087,43044087,55088174,49388174
469,Tomb Raider,90000000,58250803,273477501,331728304,241728304
2187,Tombstone,25000000,56505065,56505065,113010130,88010130
3492,Tomcats,11000000,13558739,13558739,27117478,16117478
323,Tomorrow Never Dies,110000000,125304276,339504276,464808552,354808552
122,Tomorrowland,170000000,93436322,206627518,300063840,130063840
1222,Tooth Fairy,48000000,60022256,112610386,172632642,124632642
2994,Tootsie,15000000,177200000,177200000,354400000,339400000
3379,Top Five,12000000,25317379,26001741,51319120,39319120
2993,Top Gun,15000000,179800601,356799634,536600235,521600235
5405,Top Hat,609000,1782000,3202000,4984000,4375000
4509,Topaz,4000000,6000000,6000000,12000000,8000000
2233,"Tora, Tora, Tora",25000000,29548291,29548291,59096582,34096582
4687,Torn Curtain,3000000,13000000,13000000,26000000,23000000
1494,Torque,40000000,21176322,46176322,67352644,27352644
278,Total Recall,125000000,58877969,211856088,270734057,145734057
4915,Touching the Void,2000000,4593598,15396525,19990123,17990123
504,Tower Heist,85000000,78046570,150422946,228469516,143469516
3174,Towering Inferno,14000000,116000000,139700000,255700000,241700000
1836,Toy Story,30000000,191796233,364545516,556341749,526341749
439,Toy Story 2,90000000,245852179,511358276,757210455,667210455
46,Toy Story 3,200000000,415004880,1068879522,1483884402,1283884402
1215,Traffic,48000000,124107476,208300000,332407476,284407476
1266,Training Day,45000000,76261036,104505362,180766398,135766398
4661,Trainspotting,3100000,16501785,71558971,88060756,84960756
1635,Trainwreck,35000000,110212700,141123897,251336597,216336597
2424,Traitor,22000000,23530831,27882226,51413057,29413057
2970,Trance,16000000,2322593,22594052,24916645,8916645
5225,Transamerica,1000000,9015303,16553163,25568466,24568466
401,Transcendence,100000000,23022309,103039258,126061567,26061567
153,Transformers,151000000,319246193,708272592,1027518785,876518785
36,Transformers: Age of Extinction,210000000,245439076,1104039076,1349478152,1139478152
63,Transformers: Dark of the Moon,195000000,352390543,1123790543,1476181086,1281181086
35,Transformers: Revenge of the Fallen,210000000,402111870,836519699,1238631569,1028631569
32,Transformers: The Last Knight,217000000,130168683,602893340,733062023,516062023
1471,Transporter 3,40000000,31715062,107235592,138950654,98950654
4491,Trapeze,4000000,14400000,14400000,28800000,24800000
5026,Travellers and Magicians,1800000,506793,1322161,1828954,28954
396,Treasure Planet,100000000,38120554,91800000,129920554,29920554
5133,Trees Lounge,1300000,749741,749741,1499482,199482
5526,Trekkies,375000,617172,617172,1234344,859344
3612,Tremors,10000000,16667084,16667084,33334168,23334168
2632,Triple 9,20000000,12639297,25943792,38583089,18583089
4695,Trippinâ,3000000,9017070,9017070,18034140,15034140
5619,Trois,200000,1161843,1161843,2323686,2123686
4616,Trolljegeren,3500000,253444,5706638,5960082,2460082
272,Trolls,125000000,153707064,344150134,497857198,372857198
2888,Tron,17000000,26918576,26918576,53837152,36837152
57,Tron: Legacy,200000000,172062763,400062763,572125526,372125526
4082,Tropa de Elite,6537890,8744,14319195,14327939,7790049
449,Tropic Thunder,90000000,110515313,191145256,301660569,211660569
917,Trouble with the Curve,60000000,35763137,47818913,83582050,23582050
181,Troy,150000000,133298577,484161265,617459842,467459842
1628,True Grit,35000000,171243005,252276928,423519933,388519933
370,True Lies,100000000,146282411,365300000,511582411,411582411
3321,True Romance,12500000,12281000,12309980,24590980,12090980
4590,Truth or Dare,3500000,41411015,95127344,136538359,133038359
4723,Tsotsi,3000000,2912606,11537539,14450145,11450145
3071,Tuck Everlasting,15000000,19161999,19344615,38506614,23506614
4368,Tucker & Dale vs. Evil,5000000,223838,5476793,5700631,700631
5539,Tumbleweeds,312000,1350248,1788168,3138416,2826416
5540,Tupac Resurrection,300000,7718961,7808524,15527485,15227485
230,Turbo,135000000,83028130,286896578,369924708,234924708
3648,Turistas,10000000,7027762,14321070,21348832,11348832
4727,Tusk,3000000,1821983,1887554,3709537,709537
2619,Twilight,20000000,15055091,15055091,30110182,10110182
3585,Twilight Zone: The Movie,10000000,29500000,29500000,59000000,49000000
5442,Twin Falls Idaho,500000,985341,1027228,2012569,1512569
2999,Twins,15000000,111936388,216600000,328536388,313536388
1173,Twisted,50000000,25195050,40119848,65314898,15314898
481,Twister,88000000,241688385,495700000,737388385,649388385
688,Two Brothers,72000000,19176754,62176754,81353508,9353508
3273,Two Can Play That Game,13000000,22235901,22391450,44627351,31627351
5245,Two Girls and a Guy,1000000,2057193,2315026,4372219,3372219
3421,Two Lovers,12000000,3149034,16349034,19498068,7498068
859,Two Weeks Notice,60000000,93354918,199043309,292398227,232398227
2192,Tyler Perry's A Madea Christmas,25000000,52543354,52543354,105086708,80086708
3185,Tyler Perry's Good Deeds,14000000,35025791,35579177,70604968,56604968
2513,Tyler Perry's Madea's Witness Protection,20000000,65653242,66950887,132604129,112604129
2530,Tyler Perryâs Boo 2! A Madea Halloween,20000000,47319572,47879572,95199144,75199144
2508,Tyler Perryâs Boo! A Madea Halloween,20000000,73206343,73206343,146412686,126412686
830,U-571,62000000,77086030,127630030,204716060,142716060
3087,U2 3D,15000000,12898847,26170402,39069249,24069249
